item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacedBy,nature,natureLabel,source,sourceName,statedName,psid
Q1834123,A. J. Mundella,Q3477306,Secretary of State for Education,1880-05-03,1885-06-09,,,,Q333628,Q5345405,,,,,,Q1834123-2878A371-241F-4A1B-82D3-D0C6BFA52638
Q964833,"A. V. Alexander, 1st Earl Alexander of Hillsborough",Q162754,Chancellor of the Duchy of Lancaster,1950-02-28,1951-10-26,,,,Q26207,Q6421115,,,,,,Q964833-20C6845F-4129-43C4-AE17-DCD147FC0335
Q964833,"A. V. Alexander, 1st Earl Alexander of Hillsborough",Q2747647,Secretary of State for Defence,1946-12-20,1950-02-28,,,,Q129006,Q333582,,,,,,Q964833-368F1168-7430-46F3-9189-BFB2B2175934
Q4677688,Acton Smee Ayrton,Q5449647,Financial Secretary to the Treasury,1868-12-09,1869-01-01,,,,Q5544363,Q326126,,,,,,q4677688-6d562406-45e3-afd9-1d76-7bafe20a4bba
Q350602,Adam Ingram,Q6866379,Minister of State for the Armed Forces,2001-06-07,2007-06-29,,,,Q389677,Q258738,,,,,,Q350602-D4CFBF1C-AB87-43A7-B9A0-01B8A34F42A9
Q4706248,"Alan Brodrick, 1st Viscount Midleton",Q1846056,Lord Chancellor of Ireland,1714-10-11,1725-01-01,,,,,,,,,,,Q4706248-28643D82-D5D1-4EF3-B204-ECE3A3A3484C
Q2894842,Alan Clark,Q6866372,Minister of State for Trade,1986-01-24,1989-07-24,,,,Q3069915,Q1174523,,,,,,Q2894842-1202BE70-B7B6-4906-8692-331FF43AB925
Q302417,Alan Duncan,Q6865827,Minister of State for Europe,2016-07-15,2019-07-22,,,,Q748837,Q575266,,,,,,Q302417-B7C0BD41-5392-4E9F-BA8A-2B7F6370D34D
Q302417,Alan Duncan,Q25910299,Minister of State for International Development,2010-05-13,2014-07-14,,,,Q272452,Q327823,,,,,,Q302417-ED08AD17-634E-4A26-A45E-AE34121B9722
Q4706760,Alan Green,Q5449647,Financial Secretary to the Treasury,1963-10-23,1964-10-16,,,,Q333193,Q7023902,,,,,,Q4706760-4CADF95C-77F2-4DEB-803B-F80D19E80A87
Q4706760,Alan Green,Q6866372,Minister of State for Trade,1962-07-16,1963-10-23,,,,Q333694,Q7147783,,,,,,Q4706760-ADEE8EA9-B593-48DD-9C54-AA28CCD99B8A
Q332336,Alan Johnson,Q2484309,Home Secretary,2009-06-05,2010-05-11,,,,Q237217,Q264766,,,,,,Q332336-D919403C-92D1-4DB7-8A6B-0C508D611DB0
Q332336,Alan Johnson,Q3858507,"Secretary of State for Business, Energy and Industrial Strategy",2005-05-06,2006-05-05,,,,Q332799,Q296639,,,,,,Q332336-B0F07FEC-0713-4892-BF28-55EE89044B34
Q332336,Alan Johnson,Q3477306,Secretary of State for Education,2006-05-05,2007-06-28,,,,Q272644,Q260464,,,,,,Q332336-A9DDD271-9BD7-4AA6-9779-E48A135B471E
Q332336,Alan Johnson,Q3397406,Secretary of State for Health and Social Care,2007-06-28,2009-06-05,,,,Q332799,Q269909,,,,,,Q332336-012F2EF9-AD68-4B46-8E69-14DB47CC93DB
Q332336,Alan Johnson,Q7444357,Secretary of State for Work and Pensions,2004-09-08,2005-05-06,,,,Q334296,Q264196,,,,,,Q332336-6E58378C-59F1-4040-912F-E6F5DFEA4EB2
Q4707145,"Alan Lennox-Boyd, 1st Viscount Boyd of Merton",Q3246797,Secretary of State for Transport,1952-05-07,1954-07-28,,,,Q6246292,Q333334,,,,,,Q4707145-D45582F2-EDE5-439C-953C-A5B53E1EEB5E
Q333459,Alan Milburn,Q162754,Chancellor of the Duchy of Lancaster,2004-09-08,2005-05-06,,,,Q259106,Q332562,,,,,,Q333459-0FEDD0F2-73ED-446D-84DF-11AAB5E6A01D
