item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacedBy,nature,natureLabel,source,sourceName,statedName,psid
Q333459,Alan Milburn,Q5096927,Chief Secretary to the Treasury,1998-12-23,1999-10-11,,,,Q332837,Q334296,,,,,,Q333459-4AB8C544-3417-4E0D-9AB4-CC5A6CDDB22D
Q333459,Alan Milburn,Q6865995,Minister for the Cabinet Office,2004-09-08,2005-05-06,,,,Q259106,Q332562,,,,,,Q333459-CD9F6041-D711-42D0-85A2-A286BB84539D
Q333459,Alan Milburn,Q3397406,Secretary of State for Health and Social Care,1999-10-11,2003-06-13,,,,Q300182,Q333461,,,http://news.bbc.co.uk/1/hi/uk_politics/5356016.stm,,,Q333459-8984214B-5A75-4E13-B2C4-F9E1662ABB47
Q334258,Alastair Goodlad,Q4146869,Minister of State for Foreign Affairs,1992-04-15,1995-07-20,,,,Q335726,Q333159,,,,,,Q334258-F924F28D-2A13-418F-98DC-13BCB784EE3F
Q262749,Albert Booth,Q108418111,Minister of State for Employment,1974-03-05,1976-04-08,,,,Q7352318,Q1585945,,,,,,Q262749-2927EBA3-096E-438E-9D0A-C90B5EDAFCC5
Q262749,Albert Booth,Q7444342,Secretary of State for Employment,1976-04-08,1979-05-04,,,,Q332419,Q333412,,,,,,Q262749-C2451FA5-1853-4A2E-A424-BB55F8E5BDC8
Q128976,Alec Douglas-Home,Q2012061,Leader of the House of Lords,1957-03-29,1960-07-27,,,,Q333205,Q175366,,,,,,Q128976-FF78E9F0-9F3E-4AA4-AD70-4D5318844476
Q128976,Alec Douglas-Home,Q943379,Lord President of the Council,1959-10-14,1960-07-27,,,,Q175366,,,,,,,Q128976-D1BEA75B-4D52-40D2-B88F-906EDDE953DB
Q128976,Alec Douglas-Home,Q14211,Prime Minister of the United Kingdom,1963-10-19,1964-10-16,,,,Q128985,Q128956,,,,,,Q128976-1CBA0B74-ED5D-4E4D-AA20-C5C46FF26B1C
Q128976,Alec Douglas-Home,Q7444337,Secretary of State for Commonwealth Relations,1955-04-07,1960-07-27,,,,Q6421115,Q203129,,,,,,Q128976-3DC49947-9C3C-4B17-A991-E2D22B2E62E5
Q128976,Alec Douglas-Home,Q1371091,Secretary of State for Foreign and Commonwealth Affairs,1960-07-27,1963-10-18,,,,Q333080,Q182035,,,,,,Q128976-F8376D3F-0BF5-43DF-916B-8E6E5634F5E0
Q128976,Alec Douglas-Home,Q1371091,Secretary of State for Foreign and Commonwealth Affairs,1970-06-20,1974-03-04,,,,Q333773,Q9576,,,,,,Q128976-E1CEB1EC-0AB8-4C90-913F-15293AF7678A
Q19956858,Alex Chalk,Q96393330,Minister for Prisons,2021-03-04,2021-09-10,,,,Q19957811,Q19957811,,,,,,Q19956858-1B7EB0B9-5E24-4E85-911E-B5352F7065C9
Q19956858,Alex Chalk,Q104882515,Parliamentary Under-Secretary of State for Justice,2020-02-14,2021-09-16,,,,Q19917814,Q19956787,,,,,,Q19956858-C592F1F1-404A-42D2-80B0-37D0E161E3BA
Q4718450,"Alexander Bruce, 6th Lord Balfour of Burleigh",Q111784,Secretary of State for Scotland,1895-06-29,1903-10-09,,,,Q333808,Q1844725,,,,,,Q4718450-80BF3EE1-71BE-49B9-9B67-0E9BAED56740
Q4720351,"Alexander Wedderburn, 1st Earl of Rosslyn",Q2631987,Attorney General for England and Wales,1778-01-01,1780-01-01,,,,Q44599,Q6145050,,,,,,Q4720351-3EE6A4BE-9A3C-44DF-A5C4-64B24120E650
Q4720351,"Alexander Wedderburn, 1st Earl of Rosslyn",Q217217,Lord Chancellor,1793-01-28,1801-04-14,,,,Q6133568,Q337737,,,,,,Q4720351-6A518AF1-3913-44C0-8D10-850F6832B07B
Q4722296,Alfred Barnes,Q3246797,Secretary of State for Transport,1945-08-04,1951-10-26,,,,Q5498257,Q6246292,,,,,,Q4722296-4E851A57-AAAF-44C4-B0F3-EFA9172DA8DF
Q333591,"Alfred Mond, 1st Baron Melchett",Q3397406,Secretary of State for Health and Social Care,1921-04-01,1922-10-19,,,,Q334088,Q4798898,,,,,,Q333591-5341DA75-792B-4E36-B86D-6A44A17B12AE
Q337686,"Algernon Percy, 6th Duke of Northumberland",Q910308,Lord Privy Seal,1878-02-04,1880-04-21,,,,Q82006,Q335300,,,,,,Q337686-18A74352-6109-411D-905F-DE1A764DC055
Q270009,Alistair Burt,Q104865893,Minister of State for Middle East and North Africa,2010-05-13,2013-10-07,,,,,Q480170,,,,,,Q270009-7EE2ADEB-395F-4871-8C94-199E01596573
Q270009,Alistair Burt,Q104865893,Minister of State for Middle East and North Africa,2017-06-13,2019-03-25,,,,Q303299,Q578234,,,,,,Q270009-185EB7DF-7B95-4BB4-8096-8964F03A0F2C
Q269124,Alistair Carmichael,Q111784,Secretary of State for Scotland,2013-10-07,2015-05-08,,,,Q333446,Q333520,,,,,,Q269124-67DCB29C-F4DB-4A6E-B20D-262402A19DF6
Q296639,Alistair Darling,Q531471,Chancellor of the Exchequer,2007-06-28,2010-05-11,,,,Q10648,Q332493,,,,,,Q296639-3726CFAC-E8B6-46AA-A869-33E3C7B8F883
Q296639,Alistair Darling,Q5096927,Chief Secretary to the Treasury,1997-05-03,1998-07-27,,,,Q332864,Q332837,,,,,,Q296639-ABBC814D-12BE-49AA-9559-0B92D3139E70
Q296639,Alistair Darling,Q3858507,"Secretary of State for Business, Energy and Industrial Strategy",2006-05-05,2007-06-27,,,,Q332336,Q332562,,,,,,Q296639-2D485CEB-B88B-4AD0-89F5-F25F3397C1F2
Q296639,Alistair Darling,Q111784,Secretary of State for Scotland,2003-06-13,2006-05-05,,,,Q334128,Q259106,,,,,,Q296639-5CE8186C-D54B-49C5-99C0-78E6774A1864
Q296639,Alistair Darling,Q3246797,Secretary of State for Transport,2002-05-29,2006-05-05,,,,Q332837,Q259106,,,,,,Q296639-B424A369-946F-4F3D-906B-D2499E45DDAF
Q296639,Alistair Darling,Q7444357,Secretary of State for Work and Pensions,1998-07-27,2002-05-29,,,,Q234182,Q334296,,,,,,Q296639-8C0C1CE3-28AA-4C99-A50A-FA3B0BC23A0E
Q30165682,Alister Jack,Q111784,Secretary of State for Scotland,2019-07-24,,,,,Q333520,,,,https://www.gov.uk/government/ministers,Alister Jack,Secretary of State for Scotland,Q30165682-a0602052-4868-7d07-333f-cc031984387c
Q478531,Alok Sharma,Q108045009,COP26 President,2020-02-13,,Q78347457,Second Johnson ministry,,,,,,https://www.gov.uk/government/ministers/cop26-president,,,Q478531-70ABDD8F-19CC-4A4D-AAD3-8B37FD34A74B
Q478531,Alok Sharma,Q104878740,Minister of State for Asia,2016-07-17,2017-06-13,,,,Q1710027,Q304450,,,,,,Q478531-5B655295-A780-4FAC-964D-22FEF54BA364
Q478531,Alok Sharma,Q105070637,Minister of State for Housing,2017-06-14,2018-01-09,,,,Q260651,Q268584,,,,,,Q478531-FF9B9713-EA66-4BB6-BAFC-BB39480C5619
Q478531,Alok Sharma,Q3858507,"Secretary of State for Business, Energy and Industrial Strategy",2020-02-13,2021-01-08,,,,Q750091,Q750204,,,,,,Q478531-082EFD0A-2B5D-4CA6-9CB7-BBC2A2A01109
Q478531,Alok Sharma,Q7444352,Secretary of State for International Development,2019-07-24,2020-02-13,,,,Q328892,Q20648244,,,,,,Q478531-C2BC9180-700F-43A2-AD55-10A75D8106D0
Q268030,Alun Cairns,Q1846384,Secretary of State for Wales,2016-03-19,2019-11-06,,,,Q291393,Q478345,,,,,,Q268030-ebe6816d-4d27-5e80-76de-fc36c8442232
Q336837,"Alun Gwynne Jones, Baron Chalfont",Q4146869,Minister of State for Foreign Affairs,1964-10-23,1968-10-17,,,,Q333616,,,,,,,Q336837-d9775c19-49b1-e829-aeac-422bae90cce1
Q336837,"Alun Gwynne Jones, Baron Chalfont",Q4146869,Minister of State for Foreign Affairs,1968-10-17,1970-06-19,,,,,Q6283488,,,,,,Q336837-FE7C0AF2-ED4A-4531-BCBC-6A51AEE9F25F
Q19397,Alun Michael,Q1846384,Secretary of State for Wales,1998-10-27,1999-07-27,,,,Q333869,Q333828,,,,,,Q19397-C53DE336-86AF-49F7-BB73-D01274E6532C
Q20648982,Amanda Milling,Q104878740,Minister of State for Asia,2021-09-15,,,,,Q258292,,,,,,,Q20648982-6B52F049-64D3-465B-9DF6-4F3B220C2DFA
Q20648982,Amanda Milling,Q61412205,Minister without Portfolio,2020-02-13,2021-09-15,,,,,,,,https://www.gov.uk/government/ministers,Amanda Milling,Minister without Portfolio,Q20648982-94f73f80-4642-3115-9412-b926c2c052f5
Q479171,Amber Rudd,Q2484309,Home Secretary,2016-07-13,2018-04-29,,,,Q264766,Q727798,,,http://www.bbc.co.uk/news/uk-politics-43944988,,,Q479171-cba84ee5-488a-c1e1-9b5c-453c51640283
Q479171,Amber Rudd,Q2484309,Home Secretary,2016-07-13,2018-04-29,,,,Q264766,Q727798,,,http://www.bbc.co.uk/news/uk-politics-36785814,,,Q479171-cba84ee5-488a-c1e1-9b5c-453c51640283
Q479171,Amber Rudd,Q2484309,Home Secretary,2016-07-13,2018-04-29,,,,Q264766,Q727798,,,https://www.gov.uk/government/news/new-ministerial-appointment-july-2016-home-secretary,,,Q479171-cba84ee5-488a-c1e1-9b5c-453c51640283
Q479171,Amber Rudd,Q7444345,Secretary of State for Energy and Climate Change,2015-05-11,2016-07-13,,,,Q296689,,,,,,,Q479171-172e7f05-4979-0e08-bffa-32e0f973190a
Q479171,Amber Rudd,Q7444357,Secretary of State for Work and Pensions,2018-11-16,2019-09-07,,,,Q584062,,,,https://www.bbc.co.uk/news/uk-politics-46238111,,,Q479171-f175d65b-4074-5a22-d3e5-042ea28bc753
Q479171,Amber Rudd,Q7444357,Secretary of State for Work and Pensions,2018-11-16,2019-09-07,,,,Q584062,,,,https://www.theguardian.com/politics/2019/sep/07/amber-rudd-resigns-from-cabinet-and-surrenders-conservative-whip,,,Q479171-f175d65b-4074-5a22-d3e5-042ea28bc753
Q750091,Andrea Leadsom,Q5333410,Economic Secretary to the Treasury,2014-04-09,2015-05-11,,,,Q580375,Q260429,,,https://www.parliament.uk/biographies/commons/andrea-leadsom/4117,,,Q750091-3b0e57d3-4dc6-02a6-485b-a8385964c9cb
Q750091,Andrea Leadsom,Q2636053,Leader of the House of Commons,2017-06-11,2019-05-22,,,,Q748837,Q328769,,,https://www.parliament.uk/biographies/commons/andrea-leadsom/4117,,,Q750091-0085b19e-4696-3941-a79d-9c831190d145
Q750091,Andrea Leadsom,Q25196293,Minister of State for Energy,2015-05-11,2016-07-14,,,,Q478161,,,,https://www.parliament.uk/biographies/commons/andrea-leadsom/4117,,,Q750091-8583df2a-4e00-a3c0-b03e-f8009302e7be
Q750091,Andrea Leadsom,Q3858507,"Secretary of State for Business, Energy and Industrial Strategy",2019-07-24,2020-02-13,,,,Q271800,Q478531,,,,,,Q750091-6EAD7A3C-A378-46CC-8F1C-AA2DEE82B64A
Q750091,Andrea Leadsom,Q14984399,"Secretary of State for Environment, Food and Rural Affairs",2016-07-14,2017-06-11,,,,Q272201,Q333937,,,https://www.gov.uk/government/news/new-ministerial-appointment-july-2016-secretary-of-state-for-environment-food-and-rural-affairs,,,Q750091-e40d2f45-49ef-8f22-36fb-e6e8747f3a00
Q750091,Andrea Leadsom,Q14984399,"Secretary of State for Environment, Food and Rural Affairs",2016-07-14,2017-06-11,,,,Q272201,Q333937,,,http://www.bbc.co.uk/news/uk-politics-36785814,,,Q750091-e40d2f45-49ef-8f22-36fb-e6e8747f3a00
Q337156,"Andrew Adonis, Baron Adonis",Q3246797,Secretary of State for Transport,2009-06-05,2010-05-11,,,,Q332385,Q332987,,,,,,Q337156-F8AF9361-1FB0-461C-A068-4F94F5CD09FD
Q391058,"Andrew Cavendish, 11th Duke of Devonshire",Q6866344,Minister of State for Commonwealth Relations,1962-01-01,1964-01-01,,,,Q3007930,Q333652,,,,,,Q391058-831F4A15-942F-4496-B58A-BBE2B10BC7B9
Q20011247,Andrew Dunlop,Q105274642,Parliamentary Under-Secretary of State for Northern Ireland,2015-05-11,2017-06-10,,,,Q333520,Q7026799,,,,,,Q20011247-5DAA5AF4-B08F-4625-9926-B89C3553957D
Q20011247,Andrew Dunlop,Q7883048,Parliamentary Under-Secretary of State for Scotland,2015-05-11,2017-06-10,,,,Q333520,Q16976820,,,,,,Q20011247-56317F8B-066D-4522-AE3A-B60BC9F5D59A
Q392149,Andrew Griffiths,Q108574843,"Minister for Small Business, Consumers and Corporate Responsibility",2018-01-09,2018-07-13,,,,Q727347,Q20055581,,,,,,Q392149-52A06BA0-5CB1-4BEF-A11E-EC8887B92CB0
Q333276,Andrew Lansley,Q2636053,Leader of the House of Commons,2012-09-04,2014-07-14,,,,Q259836,Q58282,,,,,,Q333276-e4b630a7-4000-661d-bc00-587801e3c4ae
Q333276,Andrew Lansley,Q910308,Lord Privy Seal,2012-09-04,2014-07-14,,,,Q259836,Q2435579,,,,,,Q333276-c87456ca-4206-e3e1-c84b-f0f4304ca3fb
Q333276,Andrew Lansley,Q3397406,Secretary of State for Health and Social Care,2010-05-12,2012-09-04,,,,Q269909,Q333533,,,,,,Q333276-cc922f0a-4d1d-5a71-d652-0c49226bbaf8
Q333261,Andrew Mitchell,Q7139041,Parliamentary Secretary to the Treasury,2012-09-04,2012-10-19,,,,Q333267,Q259836,,,,,,Q333261-a80935a3-4b69-cb71-9fbb-9b942b9d3cde
Q333261,Andrew Mitchell,Q7444352,Secretary of State for International Development,2010-05-12,2012-09-04,,,,Q259106,Q333012,,,,,,Q333261-42415f60-4d5d-50d0-8a70-9af8a6917f26
Q1844725,"Andrew Murray, 1st Viscount Dunedin",Q111784,Secretary of State for Scotland,1903-10-09,1905-02-02,,,,Q4718450,Q335178,,,,,,Q1844725-E2429C9B-F5E9-4A22-9559-0FA3D573B5C8
Q578234,Andrew Murrison,Q104865893,Minister of State for Middle East and North Africa,2019-05-09,2020-02-13,,,,Q270009,Q6131460,,,,,,Q578234-27F88732-5E96-4A32-B816-0FA152C0B36C
Q501089,Andrew Robathan,Q6866379,Minister of State for the Armed Forces,2012-09-04,2013-10-07,,,,Q478369,Q390869,,,,,,Q501089-D5513C41-99B4-4A5E-A004-E744B10B4CF5
Q478714,Andrew Selous,Q96393330,Minister for Prisons,2014-07-16,2016-07-16,,,,Q260489,Q392241,,,,,,Q478714-E2B0C341-877B-4DCB-A56B-C38FB706EA97
Q334296,Andrew Smith,Q5096927,Chief Secretary to the Treasury,1999-10-11,2002-05-29,,,,Q333459,Q332667,,,,,,Q334296-1FDE6442-EA02-4F54-BD35-86E5F33CF83B
Q334296,Andrew Smith,Q7444357,Secretary of State for Work and Pensions,2002-05-29,2004-09-08,,,,Q296639,Q332336,,,,,,Q334296-E123C586-521B-4781-94BC-D189D50321EE
Q341570,Andrew Stephenson,Q104878753,Minister for Africa,2019-07-25,2020-02-13,,,,Q260429,Q302309,,,,,,Q341570-BCC14DCF-56E4-4E0F-8808-EC872EDAB815
Q341570,Andrew Stephenson,Q25910299,Minister of State for International Development,2019-07-25,2020-02-13,,,,Q260429,Q302309,,,,,,Q341570-D8AB322B-CF7D-4A1B-B0D8-0DEBAB99FC53
Q341570,Andrew Stephenson,Q15109454,Minister of State for Transport,2020-02-13,,,,,Q390983,,,,,,,Q341570-62514CAD-33A5-4453-B35E-A02D48821432
Q341570,Andrew Stephenson,Q108046387,Parliamentary Under-Secretary of State for Industry and Energy,2019-04-04,2019-07-25,,,,Q478291,Q259361,,,,,,Q341570-BB0161B9-7305-4EC0-BD87-CA0EDF9F4900
Q269909,Andy Burnham,Q5096927,Chief Secretary to the Treasury,2007-06-28,2008-01-24,,,,Q272346,Q291057,,,,,,Q269909-BB01319A-A149-46E4-8B8A-77AC32AA18EF
Q269909,Andy Burnham,Q3297079,"Secretary of State for Culture, Media and Sport",2008-01-24,2009-06-05,,,,Q333543,Q264618,,,,,,Q269909-5425779F-F1CC-446D-A170-F4C7DB3E11C0
Q269909,Andy Burnham,Q3397406,Secretary of State for Health and Social Care,2009-06-05,2010-05-11,,,,Q332336,Q333276,,,,,,Q269909-E6D62097-DC06-4AEF-A2AB-BEC49C95A7AB
Q325403,Aneurin Bevan,Q7444342,Secretary of State for Employment,1951-01-17,1951-04-23,,,,Q5540969,Q333916,,,,,,Q325403-FEA09C91-5ABC-4B2B-81E7-A94680758FCC
Q325403,Aneurin Bevan,Q3397406,Secretary of State for Health and Social Care,1945-08-03,1951-01-17,,,,Q7527226,Q1618119,,,,,,Q325403-448B313D-3658-43CB-80B4-8A3FB2619714
Q302763,Angela Eagle,Q5419615,Exchequer Secretary to the Treasury,2007-06-29,2009-06-08,,,,Q13530012,Q6418606,,,,,,Q302763-AC36979C-835D-4EE1-98B6-A37025E504D5
Q302763,Angela Eagle,Q24284260,Minister for Pensions and Ageing Society,2009-06-08,2010-05-11,,,,Q261773,Q264116,,,,,,Q302763-EBD546FD-54C8-4A16-8088-346B907BE83A
Q4762477,Angela Knight,Q5333410,Economic Secretary to the Treasury,1995-07-05,1997-05-01,,,,Q4773176,Q334128,,,,,,Q4762477-FC34356B-449B-49D9-845C-04E2F1E7F0D3
Q168606,"Angela Smith, Baroness Smith of Basildon",Q108558760,Parliamentary Under-Secretary of State for Economy of Northern Ireland,2002-10-14,2006-05-05,,,,Q391169,Q302815,,,,,,Q168606-E5ADECA9-3CB1-4E31-BBB9-7106E3C81160
Q168606,"Angela Smith, Baroness Smith of Basildon",Q108558756,Parliamentary Under-Secretary of State for the Fire Services,2006-05-05,2007-06-28,,,,Q306169,Q5621232,,,,,,Q168606-EC8B1B04-EE24-4B39-A9AE-5A10F1B88F6C
Q332890,Angus Maude,Q1060844,Paymaster General,,,,,,,,,,,,,Q332890-2C580283-7D66-40DE-AC4B-72E44B497451
Q3411330,Ann McKechin,Q7883048,Parliamentary Under-Secretary of State for Scotland,2008-09-16,2010-05-11,,,,Q3275,Q333520,,,,,,Q3411330-0DF21D08-D6D2-4343-9E50-98187F40FB99
Q332843,"Ann Taylor, Baroness Taylor of Bolton",Q2636053,Leader of the House of Commons,1997-05-02,1998-07-27,,,,Q333068,Q232639,,,,,,Q332843-8F8A8A4E-A973-4C53-9E18-F49833988FB9
Q298846,Ann Widdecombe,Q96393330,Minister for Prisons,1995-02-28,1997-05-02,,,,,Q137911,,,,,,Q298846-3A8AC060-7933-48F0-B3F7-DCA7AB6493FB
Q389855,Anna Soubry,Q108574843,"Minister for Small Business, Consumers and Corporate Responsibility",2015-05-11,2016-07-15,,,,Q478161,Q727347,,,,,,Q389855-6373D717-B4D9-46F5-8908-E3B798C60A46
Q389855,Anna Soubry,Q23641739,Minister for Veterans,2013-10-07,2015-05-11,,,,Q390869,Q750161,,,,,,Q389855-7ACFEF25-2568-40CA-B58E-55CECDB8B790
Q389855,Anna Soubry,Q104865605,"Parliamentary Under-Secretary of State for Prevention, Public Health and Primary Care",2012-09-04,2013-10-07,,,,Q580784,Q303157,,,,,,Q389855-432DC4A6-586D-4C92-881D-CD5EFB29AD82
Q544742,Annabel Goldie,Q104830549,Minister of State for Defence,2019-07-26,,,,,Q977967,,,,,,,Q544742-C84F562B-BFCD-4EE0-9807-847DC706602C
Q580784,Anne Milton,Q23304231,Minister of State for Public Health,,,,,,,,,,,,,Q580784-5311297b-4f7b-fbb5-a6b6-add3c7b91750
Q580784,Anne Milton,Q105044272,Parliamentary Under-Secretary of State for Apprenticeships and Skills,2017-06-12,2019-07-23,,,,Q392375,Q30232942,,,,,,Q580784-9940B9DC-A784-4055-B328-42BCD80B57E2
Q20648244,Anne-Marie Trevelyan,Q104760411,"Minister of State for Business, Energy and Clean Growth",2021-01-08,2021-09-15,,,,Q750204,,,,,,,Q20648244-a6b12d89-4913-49e0-4936-027f4d3b32ba
Q20648244,Anne-Marie Trevelyan,Q6866379,Minister of State for the Armed Forces,2019-12-16,2020-02-13,,,,Q750161,Q19958052,,,,,,Q20648244-A628F353-768F-45AB-8615-E17873E6F14C
Q20648244,Anne-Marie Trevelyan,Q7444352,Secretary of State for International Development,2020-02-13,2020-09-02,,,,Q478531,,,,,,,Q20648244-cc8107d1-44c1-4dba-43c3-9ba091ac172d
Q20648244,Anne-Marie Trevelyan,Q25863345,Secretary of State for International Trade,2021-09-15,,,,,Q272201,,,,https://www.gov.uk/government/ministers,Anne-Marie Trevelyan,Secretary of State for International Trade and President of the Board of Trade,Q20648244-45859737-B131-4B55-9018-11B712521147
Q336002,"Anthony Ashley Cooper, 1st Earl of Shaftesbury",Q531471,Chancellor of the Exchequer,1661-05-13,1672-11-22,,,,Q335173,Q6230391,,,,,,Q336002-484AB8A5-C3F6-4507-8365-1C31F23EDAD8
Q336002,"Anthony Ashley Cooper, 1st Earl of Shaftesbury",Q217217,Lord Chancellor,1672-01-01,1673-01-01,,,,Q7528405,Q3784808,,,,,,Q336002-B163BB38-7DA3-459D-A420-BD84399E13AE
Q336002,"Anthony Ashley Cooper, 1st Earl of Shaftesbury",Q943379,Lord President of the Council,1679-04-21,1679-10-15,,,,,Q6255053,,,,,,Q336002-460A121E-7C54-48ED-884A-FE0EB98FA8FC
Q333193,Anthony Barber,Q162754,Chancellor of the Duchy of Lancaster,1970-06-20,1970-07-25,,,,Q332630,Q5534874,,,,,,Q333193-F04CA087-5098-4CEC-A8BC-1A98A31A239C
Q333193,Anthony Barber,Q531471,Chancellor of the Exchequer,1970-07-25,1974-03-04,,,,Q333182,Q332360,,,,,,Q333193-52675E45-6F4B-4791-AAE9-907343477845
Q333193,Anthony Barber,Q5333410,Economic Secretary to the Treasury,1959-10-22,1962-07-16,,,,Q5497735,Q5346052,,,,,,Q333193-2E4F49A0-5296-4276-9517-8A6E6347FCF8
Q333193,Anthony Barber,Q5449647,Financial Secretary to the Treasury,1962-07-16,1963-10-20,,,,Q5341978,Q4706760,,,,,,Q333193-8D3BB198-A927-4517-9E37-9977CABCB7A6
Q333193,Anthony Barber,Q3397406,Secretary of State for Health and Social Care,1963-10-20,1964-10-16,,,,Q333028,Q6390638,,,,,,Q333193-4690016F-F5CD-42C7-9BF5-195DD74CFA0F
Q301252,Anthony Crosland,Q5333410,Economic Secretary to the Treasury,1964-10-19,1964-12-22,,,,Q332897,Q6207286,,,,,,Q301252-9D726DC8-3E00-45EE-923E-9E11DE4AF17E
Q301252,Anthony Crosland,Q3858507,"Secretary of State for Business, Energy and Industrial Strategy",1967-08-29,1969-10-06,,,,Q5301661,Q333700,,,,,,Q301252-67D4B84F-6B8D-40A2-A773-4CEBCE9E16C5
Q301252,Anthony Crosland,Q611513,Secretary of State for Economic Affairs,1964-10-20,1965-01-22,,,,,Q4822853,,,,,,Q301252-F62D54E5-86C0-4112-B5C6-7C71635713A8
Q301252,Anthony Crosland,Q3477306,Secretary of State for Education,1965-01-22,1967-08-29,,,,Q333773,Q333745,,,,,,Q301252-D37F20F1-A1F5-43FC-BDEE-07FEDE23B338
Q301252,Anthony Crosland,Q1371091,Secretary of State for Foreign and Commonwealth Affairs,1976-04-08,1977-02-19,,,,Q9576,Q333085,,,,,,Q301252-6F337AC9-2C91-4275-8BAD-883C8AE93D8F
Q301252,Anthony Crosland,Q3246797,Secretary of State for Transport,1974-03-05,1976-04-08,,,,Q5534874,Q333259,,,,,,Q301252-A6698A99-E377-4438-8337-AE20AEF85761
Q301252,Anthony Crosland,Q4122313,Secretary of State for the Environment,1974-03-05,1976-04-08,,,,Q5534874,Q7176922,,,,,,Q301252-5331D614-7675-491E-A27C-0E34BBE6ACE5
Q128995,Anthony Eden,Q2636053,Leader of the House of Commons,1942-11-22,1945-05-23,,,,Q332405,Q128995,,,,,,Q128995-47CDEAB8-8EB8-4D6C-A000-081E4EC512A1
Q128995,Anthony Eden,Q2636053,Leader of the House of Commons,1945-05-23,1945-07-26,,,,Q128995,Q335791,,,,,,Q128995-A92ECC22-7177-484B-8896-66B3CA77EB19
