item,itemLabel,itemDescription,inception,abolition,partOf,partOfLabel,partStart,partEnd,isa,isaLabel,ministry,ministryLabel
Q108045009,COP26 President,UK ministerial position,2020-02-13T00:00:00Z,,Q112014,Cabinet of the United Kingdom,,,Q83307,minister,,
Q162754,Chancellor of the Duchy of Lancaster,ministerial office in Her Majesty's Government,1361-01-01T00:00:00Z,,Q112014,Cabinet of the United Kingdom,,,Q83307,minister,Q2914544,Duchy of Lancaster
Q531471,Chancellor of the Exchequer,position in the British Cabinet responsible for economic and financial matters,1316-06-30T00:00:00Z,,Q112014,Cabinet of the United Kingdom,,,Q3315109,Minister of the Crown,Q578269,HM Treasury
Q531471,Chancellor of the Exchequer,position in the British Cabinet responsible for economic and financial matters,1316-06-30T00:00:00Z,,Q112014,Cabinet of the United Kingdom,,,Q7614320,finance minister,Q578269,HM Treasury
Q5096927,Chief Secretary to the Treasury,Senior minister in the British Treasury,1961-10-08T00:00:00Z,,Q112014,Cabinet of the United Kingdom,,,Q83307,minister,,
Q5152526,Commercial Secretary to the Treasury,,2010-05-01T00:00:00Z,,,,,,Q3492070,Parliamentary Under-Secretary of State,,
Q1507619,Deputy Prime Minister of the United Kingdom,position,1942-02-19T00:00:00Z,,,,,,Q877955,deputy prime minister,,
Q5333410,Economic Secretary to the Treasury,Junior minister in the British Treasury,1947-12-01T00:00:00Z,,,,,,Q83307,minister,,
Q5449647,Financial Secretary to the Treasury,Junior minister in the British Treasury,1711-06-11T00:00:00Z,,,,,,Q83307,minister,,
Q2484309,Home Secretary,United Kingdom government cabinet minister,1782-01-01T00:00:00Z,,Q112014,Cabinet of the United Kingdom,,,Q17578116,interior minister,Q763388,Home Office
Q2484309,Home Secretary,United Kingdom government cabinet minister,1782-01-01T00:00:00Z,,Q112014,Cabinet of the United Kingdom,,,Q14214,Secretary of State,Q763388,Home Office
Q2636053,Leader of the House of Commons,responsible for arranging government business in the House of Commons,1721-04-04T00:00:00Z,,Q112014,Cabinet of the United Kingdom,,,Q62523341,Parliamentary affairs minister,,
Q2012061,Leader of the House of Lords,member of the Cabinet of the United Kingdom,1721-01-01T00:00:00Z,,Q112014,Cabinet of the United Kingdom,,,Q83307,minister,Q17101024,Office of the Leader of the House of Lords
Q6865755,Minister for Children,minister of the British Government for children,,,,,,,Q3315100,Minister of State (United Kingdom),,
Q6865766,Minister for Co-ordination of Defence,,1936-01-01T00:00:00Z,1940-01-01T00:00:00Z,,,,,Q2518691,defence minister,,
Q25909926,Minister for Culture and Tourism,UK minister,,,,,,,Q15722501,tourism minister,,
Q25909926,Minister for Culture and Tourism,UK minister,,,,,,,Q2621182,minister of culture,,
Q23641739,"Minister for Defence Personnel, Welfare and Veterans",UK minister,,,,,,,Q83307,minister,,
Q24284260,Minister for Pensions and Ageing Society,UK ministerial role,,,,,,,Q83307,minister,,
Q6865949,Minister for Security,UK ministerial position,2010-05-12T00:00:00Z,2014-02-08T00:00:00Z,Q16148206,Cabinet of Uganda,,,Q83307,minister,,
Q6865953,Minister for Social Exclusion,British government minister; 2005–2007,2005-05-09T00:00:00Z,2007-06-27T00:00:00Z,,,,,Q83307,minister,,
Q6865965,"Minister for Sport, Civil Society and Loneliness",,1962-01-01T00:00:00Z,,,,,,Q7579929,sports minister,,
Q25906165,Minister for Welfare Reform,UK ministerial role,,,,,,,Q83307,minister,,
Q3315134,Minister for Women and Equalities,,2007-06-28T00:00:00Z,,Q6063,Government of the United Kingdom,,,Q83307,minister,Q533601,Government Equalities Office
Q3315134,Minister for Women and Equalities,,2007-06-28T00:00:00Z,,Q112014,Cabinet of the United Kingdom,,,Q83307,minister,Q533601,Government Equalities Office
Q6865995,Minister for the Cabinet Office,British government office,,,Q5995,Cabinet Office,,,Q83307,minister,,
Q6865995,Minister for the Cabinet Office,British government office,,,Q112014,Cabinet of the United Kingdom,,,Q83307,minister,,
Q3315116,Minister for the Civil Service,Ministerial position in the Government of the United Kingdom,1968-11-01T00:00:00Z,,Q112014,Cabinet of the United Kingdom,,,Q83307,minister,,
Q23304225,Minister for the East Midlands,UK minister,,,,,,,Q83307,minister,,
Q6866009,Minister for the Olympics,,,,,,,,Q83307,minister,,
Q6866025,"Minister of Agriculture, Fisheries and Food",,,,,,,,Q10495779,minister of fisheries,Q6866602,"Ministry of Agriculture, Fisheries and Food"
Q6866025,"Minister of Agriculture, Fisheries and Food",,,,,,,,Q10540834,agriculture minister,Q6866602,"Ministry of Agriculture, Fisheries and Food"
Q6866042,Minister of Aircraft Production,British government minister; 1940–1945,1940-05-14T00:00:00Z,1945-07-26T00:00:00Z,,,,,Q83307,minister,,
Q3387159,Minister of Defence,former position in the United Kingdom,1940-05-10T00:00:00Z,1964-04-01T00:00:00Z,,,,,Q2518691,defence minister,,
Q1446566,Minister of Munitions,"position in the British government, 1915-1921",1915-05-25T00:00:00Z,1921-03-31T00:00:00Z,,,,,Q83307,minister,Q98080090,Ministry of Munitions
Q105485789,Minister of Posts and Telecommunications,UK government position (1969-1974),1969-01-01T00:00:00Z,1974-04-17T00:00:00Z,,,,,Q83307,minister,Q105485805,Ministry of Posts and Telecommunications
Q6866286,Minister of Production,British government minister; 1942–1945,1942-02-04T00:00:00Z,1945-07-27T00:00:00Z,,,,,Q83307,minister,,
Q6866304,Minister of Reconstruction,cabinet minister of the United Kingdom,,,,,,,Q83307,minister,,
Q104878740,Minister of State for Asia,,,,,,,,Q83307,minister,,
Q104760411,"Minister of State for Business, Energy and Clean Growth",,2004-09-10T00:00:00Z,,,,,,Q3315100,Minister of State (United Kingdom),,
Q25906282,Minister of State for Care Services,UK minister of state,,,,,,,Q2632935,minister of state,,
Q25935122,Minister of State for Children and Families,UK minister of state,,,,,,,Q2632935,minister of state,,
Q25906156,Minister of State for Children in Northern Ireland,UK minister of state,,,,,,,Q2632935,minister of state,,
Q25906279,Minister of State for Climate Change,UK minister of state,,,,,,,Q2632935,minister of state,,
Q6866342,Minister of State for Commonwealth Affairs,,,,,,,,Q83307,minister,,
Q6866344,Minister of State for Commonwealth Relations,,,,,,,,Q83307,minister,,
Q6866346,Minister of State for Communities and Local Government,,,,,,,,Q83307,minister,,
