item,itemLabel,startDate,endDate,psid
Q19957590,Oliver Dowden,2019-07-24,2020-02-13,Q19957590-C034674D-C626-42EA-8C6C-7EB54CD2DC78
Q272642,Tessa Jowell,2007-06-28,2010-05-11,Q272642-C7AC7ACC-CEEC-4F48-9815-0109D06F8BF4
Q303085,Michael Ellis,2021-09-16,,Q303085-13D1A598-1296-4C68-B873-A25D52108BC5
Q328769,Mel Stride,2017-06-13,2019-05-23,Q328769-5CD8A78C-C03D-49A3-97C4-752F4E42908E
Q333986,Francis Maude,2010-05-12,2015-05-11,Q333986-E3474F7A-5D7E-4A99-9598-319C626ACDFD
Q392174,Ben Gummer,2016-07-14,2017-06-13,Q392174-2A7B9DC9-619D-4739-B931-B3A6880D206F
Q478161,Matt Hancock,2015-05-11,2016-07-14,Q478161-B188BEE7-0550-4B91-AB71-3975F292C046
Q575217,Dawn Primarolo,1999-01-04,2007-06-28,Q575217-65B0580B-0006-4D9A-8C0F-025394B82E48
Q577024,Jesse Norman,2019-05-23,2019-07-24,Q577024-56FF2A9E-C024-4B69-AADF-13FFB1106496
Q580464,Penny Mordaunt,2020-02-13,2021-09-16,Q580464-F3AB3A3C-E786-4EAF-BADF-EC1799F2D8F1
