@@,item,itemlabel,startdate,enddate
+++,,Joseph Meade (Montserrat),2001,2009
->,Q21063908,Shirley Osborne,2014-09->2015-01-23,2019-10->2019-12-17
+++,Q112084077,Charliena White,2020-12-20,
