@@,itemlabel,item,startdate,enddate
+++,Alexander Graham Mitchell,Q4718998,1973,1975
+++,Arthur Christopher Watson,Q2865052,1975,1978
+++,John Clifford Strong,Q6226384,1978,1982
+++,Christopher J. Turner,Q2966602,1982,1987
+++,Michael J. Bradley,Q6831370,1987,1993
->,Martin Bourke,Q6775035,1993-01-01->1993,1996-01-01->1996
->,John Kelly,Q6242722,1996-01-01->1996,2000-01-01->2000
->,Mervyn Jones,Q6820915,2000-01-01->2000,2002-01-01->2002
+++,Jim Poston,Q6197568,2002,2005
---,James Poston,Q57900451,2002-01-01,2005-01-01
->,Cynthia Astwood,Q5200013,2002-11-26->2002,2002-12-16->NULL
+++,Mahala Wynns,Q6732907,2005,
->,Richard Tauwhare,Q3556435,2005-01-01->2005,2008-01-01->2008
->,Mahala Wynns,Q6732907,2008-01-01->2008,2008-08-05
->,Gordon Wetherell,Q3365174,2008-08-05,2011-08-21->2011-08-22
+++,Martin Stanley,,2011-08-22,2011-09-12
->,Peter Beckingham,Q1581292,2013-01-01->2013-10-09,2016-01-01->2016-10-10
+++,Anya Williams,Q23762586,2013-09-15,2013-10-09
->,John Freeman,Q56808524,2016-10-01->2016-10-17,2019-07-01->2019-07
+++,Anya Williams,Q23762586,2016-10-10,2016-10-17
