position,title
Q16707842,Member of Parliament
Q18952564,Member of the House of Lords
Q36634044,Member of the 52nd Parliament of the United Kingdom
Q35921591,Member of the 53rd Parliament of the United Kingdom
Q35647955,Member of the 54th Parliament of the United Kingdom
Q35494253,Member of the 55th Parliament of the United Kingdom
Q30524718,Member of the 56th Parliament of the United Kingdom
Q30524710,Member of the 57th Parliament of the United Kingdom
Q77685926,Member of the 58th Parliament of the United Kingdom
