itemLabel,positionLabel
Boris Johnson,Prime Minister
Boris Johnson,First Lord of the Treasury
Boris Johnson,Minister for the Union
Boris Johnson,Minister for the Civil Service
Dominic Raab,Deputy Prime Minister
Dominic Raab,Lord Chancellor
Dominic Raab,Secretary of State for Justice
Nadhim Zahawi,Chancellor of the Exchequer
Elizabeth Truss,"Secretary of State for Foreign, Commonwealth and Development Affairs"
Elizabeth Truss,Minister for Women and Equalities
Priti Patel,Secretary of State for the Home Department
Ben Wallace,Secretary of State for Defence
Kit Malthouse,Chancellor of the Duchy of Lancaster
Greg Clark,"Secretary of State for Levelling Up, Housing and Communities"
Steve Barclay,Secretary of State for Health and Social Care
Kwasi Kwarteng,"Secretary of State for Business, Energy and Industrial Strategy"
Alok Sharma,COP26 President
Anne-Marie Trevelyan,Secretary of State for International Trade and President of the Board of Trade
Thérèse Coffey,Secretary of State for Work and Pensions
James Cleverly,Secretary of State for Education
George Eustice,"Secretary of State for Environment, Food and Rural Affairs"
Grant Shapps,Secretary of State for Transport
Shailesh Vara,Secretary of State for Northern Ireland
Alister Jack,Secretary of State for Scotland
Robert Buckland,Secretary of State for Wales
Baroness Evans of Bowes Park,Leader of the House of Lords
Baroness Evans of Bowes Park,Lord Privy Seal
Nadine Dorries,"Secretary of State for Digital, Culture, Media and Sport"
Jacob Rees-Mogg,Minister of State (Minister for Brexit Opportunities and Government Efficiency)
Michael Ellis,Minister for the Cabinet Office
Michael Ellis,Paymaster General
Chris Heaton-Harris,Parliamentary Secretary to the Treasury (Chief Whip)
Simon Clarke,Chief Secretary to the Treasury
Mark Spencer,Lord President of the Council
Mark Spencer,Leader of the House of Commons
Suella Braverman,Attorney General
Nigel Adams,Minister of State (Minister without Portfolio)
Johnny Mercer,Minister of State (Minister for Veterans’ Affairs) at the Cabinet Office
Andrew Stephenson,Minister without Portfolio
