item,itemLabel,startDate,endDate,sourceDate,psid
Q775059,Beverley Hughes,2002-05-29,2004-04-01,2022-07-07,Q775059-8FA58E1C-6527-422E-A780-DC4058F4D5E8
Q264023,Hazel Blears,2003-06-13,2005-05-06,2022-07-07,Q264023-AF2210AF-0FB6-470C-AEBD-B86B6EF6CF15
Q264023,Hazel Blears,2005-05-06,2006-05-05,2022-07-07,Q264023-C1F8AB52-4D95-4632-B4BC-043FA7CBD1D5
Q334350,Tony McNulty,2005-05-09,2008-10-03,,Q334350-1D6565F8-5D62-4E1F-9D11-EEDF2C361665
Q1302609,Admiral The Lord West of Spithead,2007-06-28,2010-05-12,2022-07-07,Q1302609-6C80FCDF-B33A-413C-96E6-384AB45E43B8
Q285975,Vernon Coaker,2008-10-03,2009-06-03,2022-07-07,Q285975-45387269-8426-4480-84F8-310BA13BAD75
Q478248,David Hanson,2009-06-08,2010-05-11,,Q478248-6D455B11-4853-4DD7-95C1-C4E670CB5354
Q2063799,The Baroness Neville-Jones,2010-05-12,2011-05-09,2022-07-07,Q2063799-ADE5BEBE-749B-4B3E-86BA-719BC6144B9B
Q265140,James Brokenshire,2011-05-09,2015-05-08,2022-07-07,Q265140-1F8404B9-FF36-44F9-864C-91641FF9E95A
Q478686,John Hayes,2015-05-08,2016-07-15,2022-07-07,Q478686-68D199E2-C047-44F8-A618-B8E692B26A50
Q263166,Ben Wallace,2016-07-17,2019-07-24,,Q263166-BC5EE2F4-C186-4D91-A225-8FE8D9EC8720
Q749687,Brandon Lewis,2019-07-24,2020-02-13,,Q749687-B85908A7-C457-4A8A-841D-601B863FFF18
Q265140,James Brokenshire,2020-02-13,2021-07-07,2022-07-07,Q265140-81D82F0B-FD01-4C2E-B49F-F4E5B819C3DA
Q676947,Damian Hinds,2021-08-13,2022-07-07,,Q676947-74698BD2-23BD-4270-BAF6-960DF86A2910
