item,itemLabel,startDate,endDate,title
Q775059,Beverley Hughes,2002-05-29,2004-04-01,"Citizenship, Immigration and Counter Terrorism"
Q264023,Hazel Blears,2003-06-13,2005-05-06,"Crime Reduction, Policing,Community Safety and Counter-Terrorism"
Q264023,Hazel Blears,2005-05-06,2006-05-05,"Policing, Security and Community Safety"
Q334350,Tony McNulty,2006-05-05,2008-10-03,"Security, Counter-Terrorism, Crime and Policing"
Q285975,Vernon Coaker,2008-10-03,2009-06-03,"Policing, Crime and Security"
Q478248,David Hanson,2009-06-10,2010-05-11,"Security, Counter-Terrorism, Crime and Policing"
Q1302609,Admiral The Lord West of Spithead,2007-06-28,2010-05-12,Security and Counter-Terrorism
Q2063799,The Baroness Neville-Jones,2010-05-12,2011-05-09,Security and Counter-Terrorism
Q265140,James Brokenshire,2011-05-09,2015-05-08,"Crime and Security, Security and Immigration"
Q478686,John Hayes,2015-05-08,2016-07-15,Security
Q263166,Ben Wallace,2016-07-17,2019-07-24,Security and Economic Crime
Q749687,Brandon Lewis,2019-07-24,2020-02-13,Security and Deputy for Brexit
Q265140,James Brokenshire,2020-02-13,2021-07-07,Security
Q676947,Damian Hinds,2021-08-13,2022-07-07,Security and Borders
Q584156,Stephen McPartland,2022-07-07,,Security
